query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q1439_o,8,1,507.0,507.0,64264.0,38202.0,26062.0,143497.72189349114,102466,2004,66273
query_Q1439_o,8,2,507.0,507.0,65993.0,36472.0,29521.0,137755.24654832348,102465,486,62721
query_Q1439_o,8,3,507.0,507.0,65250.0,37213.0,28037.0,137883.57001972388,102463,485,58101
query_Q1439_o,8,4,507.0,507.0,65948.0,36515.0,29433.0,146834.1321499014,102463,377,67633
query_Q1439_o,8,5,507.0,507.0,66275.0,36188.0,30087.0,144620.5522682446,102463,379,62404
