query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q36074_o,4,1,455.0,455.0,6405.0,3628.0,2777.0,218529.23076923078,10033,820,84423
query_Q36074_o,4,2,455.0,455.0,6423.0,3606.0,2817.0,226744.61538461538,10029,237,94254
query_Q36074_o,4,3,455.0,455.0,6487.0,3550.0,2937.0,219409.45054945056,10037,320,88570
query_Q36074_o,4,4,455.0,455.0,6360.0,3679.0,2681.0,215595.16483516485,10039,243,96979
query_Q36074_o,4,5,455.0,455.0,6227.0,3807.0,2420.0,222167.47252747254,10034,135,95786
