query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_224,8,1,398.0,208.0,52176.0,209.0,51967.0,1.689920647236181E7,105307,1403,2171
query_224,8,2,394.0,208.0,52180.0,210.0,51970.0,1.995637120812183E7,105302,520,2381
query_224,8,3,368.0,208.0,52259.0,210.0,52049.0,1.8689086608695652E7,105272,398,2739
query_224,8,4,360.0,208.0,52179.0,208.0,51971.0,2.4582607466666665E7,105263,398,3179
query_224,8,5,399.0,208.0,52177.0,211.0,51966.0,1.756093180952381E7,105314,402,2203
