query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_147,8,1,508.0,507.0,51207.0,51207.0,0.0,8514652.812992126,102415,1173,6678435
query_147,8,2,509.0,507.0,51207.0,51207.0,0.0,8497924.614931237,102416,397,6231898
query_147,8,3,512.0,507.0,51207.0,51207.0,0.0,8448132.087890625,102419,433,6503463
query_147,8,4,509.0,507.0,51207.0,51207.0,0.0,8497924.614931237,102416,365,6394555
query_147,8,5,509.0,507.0,51207.0,51207.0,0.0,8497924.614931237,102416,292,6540074
