query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_151,8,1,340.0,338.0,34163.0,34088.0,75.0,1.53566046E7,102416,1295,6409102
query_151,8,2,338.0,338.0,34138.0,34138.0,0.0,1.6987171097633135E7,102414,394,6520093
query_151,8,3,339.0,338.0,34138.0,34138.0,0.0,1.5603236401179941E7,102416,314,6348563
query_151,8,4,344.0,338.0,34161.0,34092.0,69.0,1.5748455944767442E7,102421,355,6331632
query_151,8,5,338.0,338.0,34157.0,34100.0,57.0,1.5144580473372782E7,102414,366,6288227
