query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_391,5,1,4683.0,4550.0,50050.0,50050.0,0.0,4198579.25966261,100233,1718,3639837
query_391,5,2,4673.0,4548.0,50028.0,50028.0,0.0,4169441.5191525784,100181,776,3667537
query_391,5,3,4672.0,4548.0,50028.0,50028.0,0.0,4208464.61322774,100180,483,3658853
query_391,5,4,4693.0,4548.0,50028.0,50028.0,0.0,4203661.497123376,100201,558,3633130
query_391,5,5,4684.0,4549.0,50039.0,50039.0,0.0,4202643.716268147,100213,480,3656897
