query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_520,1,1,2511.0,2503.0,5006.0,5006.0,0.0,3.475416795858224E7,10020,1057,34747225
query_520,1,2,2513.0,2499.0,4998.0,4998.0,0.0,3.4671012635097496E7,10010,431,34671013
query_520,1,3,2512.0,2500.0,5000.0,5000.0,0.0,3.469869426751592E7,10012,268,34684815
query_520,1,4,2509.0,2504.0,5008.0,5008.0,0.0,3.479576763332005E7,10021,244,34788820
query_520,1,5,2516.0,2501.0,5002.0,5002.0,0.0,3.4657386823529415E7,10019,195,34650458
