query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_632,1,1,2565.0,2483.0,4966.0,4966.0,0.0,9322065.50331384,10014,1170,8199390
query_632,1,2,2559.0,2485.0,4970.0,4970.0,0.0,9228899.688940993,10014,530,8255152
query_632,1,3,2569.0,2482.0,4964.0,4964.0,0.0,9321030.24056053,10015,216,8217963
query_632,1,4,2567.0,2483.0,4966.0,4966.0,0.0,9321547.468640435,10016,186,8229706
query_632,1,5,2562.0,2482.0,4964.0,4964.0,0.0,9305948.740046838,10008,166,8237882
