query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_349,6,1,47294.0,45374.0,499114.0,499114.0,0.0,1.4710053386560664E7,1000148,6030,13224042
query_349,6,2,47355.0,45373.0,499103.0,499103.0,0.0,1.4663024844345897E7,1000188,4822,13207089
query_349,6,3,47357.0,45371.0,499081.0,499081.0,0.0,1.463994262339253E7,1000148,4687,13201178
query_349,6,4,47368.0,45370.0,499070.0,499070.0,0.0,1.467141148454653E7,1000138,4360,13204996
query_349,6,5,47381.0,45371.0,499081.0,499081.0,0.0,1.4678611860112702E7,1000172,4374,13190959
