query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_137,6,1,374760.0,12373.0,136112.0,136087.0,25.0,9078562.455931796,1000191,6006,218226
query_137,6,2,374080.0,12387.0,136260.0,136250.0,10.0,9367968.734802715,1000158,4824,220284
query_137,6,3,375344.0,12358.0,135940.0,135934.0,6.0,9231260.922686921,1000148,4896,220250
query_137,6,4,370732.0,12495.0,137447.0,137440.0,7.0,9412553.815734817,1000160,4668,221822
query_137,6,5,375415.0,12347.0,135825.0,135797.0,28.0,9213755.061278852,1000127,4602,217442
