/GDD/Thi/wdbench_multiple_bgps_count_all/query_373.sparql,32,0.353
/GDD/Thi/wdbench_multiple_bgps_count_all/query_480.sparql,0,0.039
/GDD/Thi/wdbench_multiple_bgps_count_all/query_477.sparql,851,0.148
/GDD/Thi/wdbench_multiple_bgps_count_all/query_394.sparql,954554,86.538
/GDD/Thi/wdbench_multiple_bgps_count_all/query_238.sparql,56333,1.193
/GDD/Thi/wdbench_multiple_bgps_count_all/query_550.sparql,0,0.032
/GDD/Thi/wdbench_multiple_bgps_count_all/query_640.sparql,398198250,133.756
/GDD/Thi/wdbench_multiple_bgps_count_all/query_151.sparql,15860639,122.230
/GDD/Thi/wdbench_multiple_bgps_count_all/query_466.sparql,4153822,35.575
/GDD/Thi/wdbench_multiple_bgps_count_all/query_204.sparql,0,0.037
/GDD/Thi/wdbench_multiple_bgps_count_all/query_348.sparql,4814,0.202
/GDD/Thi/wdbench_multiple_bgps_count_all/query_318.sparql,3402,0.415
/GDD/Thi/wdbench_multiple_bgps_count_all/query_667.sparql,2691419,19.491
/GDD/Thi/wdbench_multiple_bgps_count_all/query_530.sparql,214210,2.615
/GDD/Thi/wdbench_multiple_bgps_count_all/query_328.sparql,580,0.320
/GDD/Thi/wdbench_multiple_bgps_count_all/query_546.sparql,Timeout,600.096
/GDD/Thi/wdbench_multiple_bgps_count_all/query_674.sparql,6,0.084
/GDD/Thi/wdbench_multiple_bgps_count_all/query_380.sparql,40,0.036
/GDD/Thi/wdbench_multiple_bgps_count_all/query_282.sparql,819664,1.626
/GDD/Thi/wdbench_multiple_bgps_count_all/query_23.sparql,3380,0.996
/GDD/Thi/wdbench_multiple_bgps_count_all/query_326.sparql,12026,4.023
/GDD/Thi/wdbench_multiple_bgps_count_all/query_498.sparql,1013168475,265.674
/GDD/Thi/wdbench_multiple_bgps_count_all/query_339.sparql,51224,5.675
/GDD/Thi/wdbench_multiple_bgps_count_all/query_353.sparql,12203,50.100
/GDD/Thi/wdbench_multiple_bgps_count_all/query_601.sparql,2681380,87.767
/GDD/Thi/wdbench_multiple_bgps_count_all/query_199.sparql,3,0.067
/GDD/Thi/wdbench_multiple_bgps_count_all/query_531.sparql,129407,4.672
/GDD/Thi/wdbench_multiple_bgps_count_all/query_287.sparql,0,0.035
/GDD/Thi/wdbench_multiple_bgps_count_all/query_633.sparql,34916061,474.032
/GDD/Thi/wdbench_multiple_bgps_count_all/query_122.sparql,733805,6.736
/GDD/Thi/wdbench_multiple_bgps_count_all/query_371.sparql,36205,0.168
/GDD/Thi/wdbench_multiple_bgps_count_all/query_302.sparql,13,0.046
/GDD/Thi/wdbench_multiple_bgps_count_all/query_351.sparql,8552531,70.781
/GDD/Thi/wdbench_multiple_bgps_count_all/query_627.sparql,400,0.043
/GDD/Thi/wdbench_multiple_bgps_count_all/query_470.sparql,95,0.046
/GDD/Thi/wdbench_multiple_bgps_count_all/query_105.sparql,1,0.056
/GDD/Thi/wdbench_multiple_bgps_count_all/query_547.sparql,19667920,169.364
/GDD/Thi/wdbench_multiple_bgps_count_all/query_597.sparql,2569734,23.780
/GDD/Thi/wdbench_multiple_bgps_count_all/query_367.sparql,4061,0.092
/GDD/Thi/wdbench_multiple_bgps_count_all/query_346.sparql,51,56.348
