query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_256,3,1,174517.0,164655.0,329310.0,329310.0,0.0,2.9966382619882304E7,1000040,16105,29945376
query_256,3,2,174576.0,164659.0,329318.0,329318.0,0.0,2.9957527830056824E7,1000032,14890,29934801
query_256,3,3,174470.0,164689.0,329378.0,329378.0,0.0,2.9978821374597352E7,1000039,13682,29958506
query_256,3,4,174479.0,164679.0,329358.0,329358.0,0.0,2.9982732461591367E7,1000038,13724,29955845
query_256,3,5,174539.0,164672.0,329344.0,329344.0,0.0,2.9966424375251375E7,1000024,13225,29944056
