query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_351,3,1,252941.0,249025.0,498050.0,498050.0,0.0,8555140.183995478,1000016,13033,8368697
query_351,3,2,253022.0,249000.0,498000.0,498000.0,0.0,8551238.111974454,1000022,11655,8367120
query_351,3,3,253098.0,248974.0,497948.0,497948.0,0.0,8545626.127492117,1000020,11804,8363777
query_351,3,4,252909.0,249036.0,498072.0,498072.0,0.0,8556462.258978525,1000017,11814,8370651
query_351,3,5,253000.0,249005.0,498010.0,498010.0,0.0,8553589.946498023,1000015,11621,8368124
