query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_137,3,1,674765.0,22399.0,44801.0,44795.0,6.0,9120237.281920372,1000005,9138,214761
query_137,3,2,673759.0,22651.0,45306.0,45301.0,5.0,9476095.48042401,1000007,7732,224286
query_137,3,3,675711.0,22264.0,44529.0,44528.0,1.0,9399039.899972029,1000011,7493,223044
query_137,3,4,675629.0,22332.0,44666.0,44664.0,2.0,9482048.078405457,1000011,7249,222623
query_137,3,5,674106.0,22588.0,45179.0,45175.0,4.0,9715422.533600057,1000008,7143,228689
