query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_638,3,1,120483.0,120483.0,319282.0,180738.0,138544.0,9.786770663757543E7,1000040,10821,8
query_638,3,2,120509.0,120509.0,319472.0,180550.0,138922.0,9.768567645073812E7,1000044,9171,8
query_638,3,3,120445.0,120445.0,319120.0,180908.0,138212.0,9.809072159789115E7,1000056,8930,8
query_638,3,4,120476.0,120476.0,319082.0,180951.0,138131.0,9.781760513343737E7,1000066,9177,8
query_638,3,5,120459.0,120459.0,319026.0,181003.0,138023.0,9.71553052354743E7,1000058,9163,8
