query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_629,3,1,250003.0,250003.0,500006.0,500006.0,0.0,9185526.80580233,1000012,13466,9181487
query_629,3,2,250003.0,250003.0,500006.0,500006.0,0.0,9185453.354787743,1000012,11491,9181487
query_629,3,3,250003.0,250003.0,500006.0,500006.0,0.0,9185526.80580233,1000012,11650,9181487
query_629,3,4,250003.0,250003.0,500006.0,500006.0,0.0,9185747.158846093,1000012,11780,9181487
query_629,3,5,250003.0,250003.0,500006.0,500006.0,0.0,9185710.4333388,1000012,11601,9181487
