query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_224,3,1,152571.0,82506.0,329886.0,82509.0,247377.0,1.8768466609775122E7,1000064,13889,40
query_224,3,2,152401.0,82534.0,329996.0,82541.0,247455.0,1.8680547658978615E7,1000074,12827,41
query_224,3,3,152950.0,82443.0,329646.0,82448.0,247198.0,1.8610764256972868E7,1000035,12138,41
query_224,3,4,152627.0,82493.0,329812.0,82498.0,247314.0,1.8912062588349376E7,1000045,11895,41
query_224,3,5,152551.0,82483.0,329778.0,82488.0,247290.0,1.8676791085892588E7,1000086,11901,41
