query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_407,3,1,984246.0,5135.0,10971.0,9917.0,1054.0,1.7026140662308204E8,1999998,11847,163760768
query_407,3,2,984345.0,5109.0,10876.0,9891.0,985.0,5.386721228832777E7,1000003,4863,51437017
query_407,3,3,984153.0,5172.0,11048.0,9973.0,1075.0,2.078128289895636E8,2000001,9759,206027886
query_407,3,4,983766.0,5296.0,11308.0,10221.0,1087.0,1.594847408598813E8,1999998,10455,158137333
query_407,3,5,984523.0,5055.0,10771.0,9760.0,1011.0,1.528415787847516E7,1999998,9923,11675578
