query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q3224_o,1,1,2468.0,2468.0,5728.0,4279.0,1449.0,303577.05267423013,10007,1215,112469
query_Q3224_o,1,2,2476.0,2476.0,5704.0,4316.0,1388.0,298349.5,10020,426,107479
query_Q3224_o,1,3,2477.0,2477.0,5730.0,4286.0,1444.0,304492.34396447317,10016,218,114142
query_Q3224_o,1,4,2474.0,2474.0,5742.0,4279.0,1463.0,309711.4082457559,10021,190,112349
query_Q3224_o,1,5,2479.0,2479.0,5727.0,4301.0,1426.0,308006.83420734166,10028,155,111685
