query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_SPO_p,1,1,5005.0,5005.0,10010.0,10010.0,0.0,1.253527743E9,10010,1383,5818
query_SPO_p,1,2,5005.0,5005.0,10010.0,10010.0,0.0,1.253527743E9,10010,304,9359
query_SPO_p,1,3,5005.0,5005.0,10010.0,10010.0,0.0,1.253527743E9,10010,183,7182
query_SPO_p,1,4,5005.0,5005.0,10010.0,10010.0,0.0,1.253527743E9,10010,231,4429
query_SPO_p,1,5,5005.0,5005.0,10010.0,10010.0,0.0,1.253527743E9,10010,176,5051
