dataset,config_pair,spearman_coeff,p_value
watdiv,1_5,0.9108699584011576,5.069376415938494e-22
watidv,5_9,0.872761491794295,3.868995835527453e-18
watdiv,1_9,0.8399189463019249,1.1026840632645025e-15
wdbench,1_5,0.7243643869030867,1.2653216266389573e-07
wdbench,5_9,0.5652500234543578,0.00014449330174854254
wdbench,1_9,0.6862745098039217,1.0169566550850067e-06
