query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_637,9,1,998356.0,3.0,445.0,227.0,218.0,287.73159273846204,1999998,14572,295
query_637,9,2,999159.0,1.0,149.0,54.0,95.0,95.8334499313923,1999998,12932,29
query_637,9,3,999182.0,1.0,101.0,101.0,0.0,95.83124395755728,1999998,12627,96
query_637,9,4,999190.0,1.0,101.0,101.0,0.0,95.83047668611576,1999998,13386,96
query_637,9,5,999579.0,0.0,0.0,0.0,0.0,0.0,1999998,13130,0
