query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_512,9,1,2493.0,2483.0,250783.0,250783.0,0.0,4787803.528279182,1003152,3705,3776525
query_512,9,2,2490.0,2483.0,250783.0,250783.0,0.0,4762305.963052209,1003146,2668,3784475
query_512,9,3,2501.0,2483.0,250783.0,250783.0,0.0,4767573.658536585,1003168,3263,3768158
query_512,9,4,2486.0,2483.0,250783.0,250783.0,0.0,4819415.3692679005,1003138,2773,3785606
query_512,9,5,2490.0,2483.0,250783.0,250783.0,0.0,4805091.0200803215,1003146,3023,3776412
