query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_351,9,1,5032.0,4953.0,500253.0,500253.0,0.0,8547060.93481717,1000585,4035,8370001
query_351,9,2,5035.0,4953.0,500253.0,500253.0,0.0,8571198.109235352,1000588,2924,8370888
query_351,9,3,5029.0,4953.0,500253.0,500253.0,0.0,8564209.743487772,1000582,2806,8373272
query_351,9,4,5040.0,4953.0,500253.0,500253.0,0.0,8540364.93968254,1000593,2516,8355713
query_351,9,5,5046.0,4953.0,500253.0,500253.0,0.0,8525062.978993261,1000599,2394,8340831
