query_path,count,execution_time,triple_count
/GDD/Thi/wdbench_multiple_bgps_count_all/query_29.sparql ,660617,0.978,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_140.sparql,633735,2.5,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_496.sparql,554543,1.161,9
/GDD/Thi/wdbench_multiple_bgps_count_all/query_355.sparql,546090,57.381,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_156.sparql,475638,1.961,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_505.sparql,448876,2.363,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_593.sparql,383347,7.295,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_13.sparql ,364061,2.297,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_464.sparql,352787,2.175,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_379.sparql,349899,5.656,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_465.sparql,349696,3.166,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_126.sparql,335165,11.82,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_135.sparql,320726,2.088,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_136.sparql,309540,2.627,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_603.sparql,299617,2.041,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_76.sparql ,284037,4.398,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_499.sparql,270194,2.337,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_528.sparql,269254,1.775,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_527.sparql,259029,1.422,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_501.sparql,256311,3.366,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_431.sparql,250250,2.574,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_533.sparql,232385,5.343,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_530.sparql,214210,2.615,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_525.sparql,191520,2.959,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_77.sparql ,153388,2.695,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_343.sparql,147367,0.911,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_15.sparql ,133588,1.063,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_531.sparql,129407,4.672,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_504.sparql,128744,2.734,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_423.sparql,120062,46.34,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_20.sparql ,111405,1.367,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_451.sparql,101888,3.758,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_74.sparql ,64430,1.737,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_212.sparql,58457,2.502,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_238.sparql,56333,1.193,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_339.sparql,51224,5.675,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_579.sparql,39325,0.631,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_515.sparql,39307,0.792,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_371.sparql,36205,0.168,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_568.sparql,23552,0.329,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_502.sparql,21638,0.25,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_253.sparql,17973,0.863,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_450.sparql,16069,0.543,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_12.sparql ,15089,0.141,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_630.sparql,14603,0.261,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_344.sparql,13319,0.216,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_102.sparql,13218,0.336,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_354.sparql,13087,71.01,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_353.sparql,12203,50.1,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_326.sparql,12026,4.023,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_560.sparql,10151,0.312,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_210.sparql,9121,2.306,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_345.sparql,8760,0.124,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_356.sparql,8504,45.28,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_10.sparql ,8080,0.326,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_186.sparql,8049,0.199,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_476.sparql,7213,0.107,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_626.sparql,7142,0.119,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_164.sparql,6963,0.105,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_166.sparql,6052,0.151,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_170.sparql,5765,0.191,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_336.sparql,5683,0.449,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_130.sparql,5237,1.473,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_348.sparql,4814,0.202,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_167.sparql,4719,47.70,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_367.sparql,4061,0.092,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_318.sparql,3402,0.415,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_23.sparql ,3380,0.996,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_280.sparql,2722,0.037,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_182.sparql,2591,0.083,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_486.sparql,2567,0.147,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_264.sparql,2509,0.124,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_622.sparql,2465,0.138,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_110.sparql,2427,0.711,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_300.sparql,2393,0.311,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_584.sparql,2122,0.108,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_588.sparql,2120,0.059,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_295.sparql,1791,0.092,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_357.sparql,1327,71.38,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_578.sparql,1183,0.075,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_526.sparql,1105,0.204,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_169.sparql,1087,0.129,5
/GDD/Thi/wdbench_multiple_bgps_count_all/query_294.sparql,932,0.078,4
/GDD/Thi/wdbench_multiple_bgps_count_all/query_99.sparql ,867,0.053,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_477.sparql,851,0.148,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_134.sparql,820,0.096,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_555.sparql,799,0.071,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_457.sparql,762,0.09,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_228.sparql,714,0.102,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_478.sparql,667,0.055,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_334.sparql,665,0.554,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_61.sparql ,621,0.064,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_286.sparql,585,0.043,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_328.sparql,580,0.32 ,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_324.sparql,430,0.372,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_634.sparql,428,0.035,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_627.sparql,400,0.043,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_305.sparql,358,0.043,2
/GDD/Thi/wdbench_multiple_bgps_count_all/query_427.sparql,340,0.578,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_52.sparql ,328,0.088,3
/GDD/Thi/wdbench_multiple_bgps_count_all/query_524.sparql,291,0.037,2
