Query_Index,Execution_Time_CL,CHAOLEE_config1,Triple_Count
query_10,7.299,8091.194107452339,2
query_102,8.807,9845.803612140257,4
query_105,5.381,0.9540936350684204,4
query_11,4.715,78.95887095964413,2
query_110,7.938,2331.828055683035,2
query_119,6.409,105.37489985083474,3
query_12,7.198,15111.069939786936,2
query_122,8.108,392643.63295466156,3
query_126,7.489,321450.3128046436,3
query_13,8.027,46380.070821939975,3
query_130,8.657,5236.202373706634,3
query_134,6.271,814.7655184351739,3
query_135,7.393,320826.0,2
query_136,7.983,302598.5622850688,3
query_137,8.633,296333.4224819249,4
query_138,7.17,361331.88827187987,4
query_14,7.505,2524827.0,2
query_140,7.643,274708.93828201015,3
query_143,8.615,2064730.9754641568,5
query_144,6.535,2497488.4035628214,3
query_145,7.835,5052775.757311252,3
query_146,6.78,2914889.9210276506,2
query_147,7.387,4786611.116209171,2
query_148,8.658,1963558.7242163313,4
query_15,8.0,133607.96622736802,3
query_150,6.289,5115578.115354362,2
query_151,7.553,5058777.348116302,3
query_156,7.547,4639.516758034849,3
query_162,5.158,62.77598875987144,2
query_164,7.062,6971.330612244898,3
query_165,6.985,119.04619580944691,3
query_166,7.311,4305.811513548034,4
query_167,8.38,2319.166871796508,4
query_168,7.861,660204.7210776355,4
query_169,5.795,327.6509070102541,5
query_17,6.298,0.0,6
query_170,5.586,4166.295719050431,2
query_182,5.674,97.85602060942243,2
query_186,7.72,7309.232142857142,3
query_195,5.597,5.137706241083963,3
query_199,3.924,2.9521044992743106,2
query_20,8.026,109987.78485133474,3
query_202,4.719,27.548031086340526,3
query_208,4.797,59.866791506649314,2
query_210,8.841,5371.507479245686,5
query_212,8.687,45575.71545228677,4
query_216,6.559,131.24326388294875,4
query_224,5.181,206.55469054780139,5
query_228,6.164,718.4335589671293,2
query_23,9.214,3423.9485147439987,4
query_238,6.871,47918.71853941952,2
query_253,7.299,6827.024814481153,3
query_255,8.372,36589841.62962963,2
query_256,7.873,30006811.217477653,3
query_264,5.522,1981.548902395858,2
query_280,4.178,36.086340947197726,3
query_282,8.518,58520.69564366738,4
query_283,6.781,149351.02648079584,2
query_286,4.44,181.57890291256894,3
query_288,8.384,82164.54132535674,4
query_289,7.2,207830.51471734472,2
query_29,7.43,17068.163331911528,3
query_294,6.599,901.8717838312019,4
query_295,5.254,1801.9006200017968,2
