query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_151,2,1,16729.0,16655.0,33318.0,33306.0,12.0,1.583894320796222E7,100039,3301,6424761
query_151,2,2,16728.0,16656.0,33317.0,33310.0,7.0,1.5873040709050693E7,100033,1720,6451325
query_151,2,3,16732.0,16653.0,33312.0,33304.0,8.0,1.5931962285560602E7,100021,1476,6442817
query_151,2,4,16731.0,16652.0,33312.0,33303.0,9.0,1.57728001078238E7,100032,1372,6423486
query_151,2,5,16731.0,16651.0,33310.0,33299.0,11.0,1.5867135036698345E7,100026,1418,6412838
