query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_352,2,1,59286.0,13506.0,27436.0,26784.0,652.0,1.8414982268731236E7,100000,2016,14769700
query_352,2,2,59358.0,13480.0,27349.0,26779.0,570.0,1.7985965289531317E7,100006,1068,14259745
query_352,2,3,59042.0,13592.0,27607.0,26959.0,648.0,1.710869361634091E7,100016,1006,13678904
query_352,2,4,59475.0,13446.0,27306.0,26676.0,630.0,1.7661910775956284E7,100011,977,14223642
query_352,2,5,59260.0,13522.0,27428.0,26843.0,585.0,1.806994827377658E7,100009,956,14403677
