query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q9899_o,2,1,24810.0,24810.0,55086.0,44927.0,10159.0,181359.92486900443,100013,2580,82042
query_Q9899_o,2,2,24827.0,24827.0,55006.0,45015.0,9991.0,181228.59145285375,100021,1425,82371
query_Q9899_o,2,3,24832.0,24832.0,55002.0,45009.0,9993.0,180835.35663659795,100011,1240,82510
query_Q9899_o,2,4,24821.0,24821.0,54914.0,45108.0,9806.0,180496.1869384795,100022,1211,82779
query_Q9899_o,2,5,24824.0,24824.0,55020.0,44989.0,10031.0,181490.34901708024,100009,1265,83648
