query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_547,2,1,26334.0,24560.0,49120.0,49120.0,0.0,1.967157793574846E7,100014,4017,9782802
query_547,2,2,26382.0,24546.0,49092.0,49092.0,0.0,1.9624593989310894E7,100020,2450,9754508
query_547,2,3,26395.0,24540.0,49080.0,49080.0,0.0,1.961013387914378E7,100015,2061,9773014
query_547,2,4,26351.0,24555.0,49110.0,49110.0,0.0,1.9654884860346857E7,100016,1746,9696889
query_547,2,5,26372.0,24548.0,49096.0,49096.0,0.0,1.96336350518732E7,100016,1731,9748985
