query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_147,2,1,25069.0,24984.0,49968.0,49968.0,0.0,8502519.918943716,100021,2801,6430490
query_147,2,2,25071.0,24981.0,49962.0,49962.0,0.0,8500820.7692952,100014,1671,6443142
query_147,2,3,25076.0,24980.0,49960.0,49960.0,0.0,8498785.534375498,100016,1511,6428372
query_147,2,4,25073.0,24981.0,49962.0,49962.0,0.0,8500142.68364376,100016,1598,6414375
query_147,2,5,25075.0,24980.0,49960.0,49960.0,0.0,8499124.468993021,100015,1495,6451115
