query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_638,2,1,12055.0,12055.0,31960.0,18060.0,13900.0,9.858341503367898E7,100040,2099,8
query_638,2,2,12068.0,12068.0,31866.0,18149.0,13717.0,9.811646473085849E7,100030,1169,8
query_638,2,3,12054.0,12054.0,31789.0,18229.0,13560.0,9.421521350754936E7,100036,1052,8
query_638,2,4,12050.0,12050.0,31864.0,18156.0,13708.0,9.476840636414938E7,100040,1005,8
query_638,2,5,12054.0,12054.0,31970.0,18054.0,13916.0,9.609791582346112E7,100048,1021,8
