query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_255,7,1,53.0,52.0,5252.0,5252.0,0.0,3.657681569811321E7,10505,667,36576816
query_255,7,2,53.0,52.0,5252.0,5252.0,0.0,3.657681569811321E7,10505,230,36576816
query_255,7,3,53.0,52.0,5252.0,5252.0,0.0,3.657681569811321E7,10505,187,36576816
query_255,7,4,52.0,52.0,5252.0,5252.0,0.0,3.7280216E7,10504,45,37280216
query_255,7,5,52.0,52.0,5252.0,5252.0,0.0,3.7280216E7,10504,52,37280216
