query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_SPO_o,9,1,11887.0,9882.0,1000087,94037,50990
query_SPO_o,9,2,11780.0,9883.0,1000080,81443,50854
query_SPO_o,9,3,11855.0,9882.0,1000055,70448,50825
query_SPO_o,9,4,11790.0,9883.0,1000090,61187,50914
query_SPO_o,9,5,11753.0,9883.0,1000053,53022,51273
