query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_147,6,1,45618.0,45451.0,499961.0,499961.0,0.0,8500214.774803806,1000089,6065,6429941
query_147,6,2,45622.0,45451.0,499961.0,499961.0,0.0,8499469.50149051,1000093,4668,6424772
query_147,6,3,45603.0,45454.0,499994.0,499994.0,0.0,8503571.95662566,1000137,4906,6453986
query_147,6,4,45606.0,45452.0,499972.0,499972.0,0.0,8502638.447660396,1000098,4819,6436786
query_147,6,5,45629.0,45451.0,499961.0,499961.0,0.0,8498165.587608758,1000100,4710,6437367
