query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_256,6,1,32074.0,30239.0,332629.0,332629.0,0.0,2.9944275833447654E7,1000155,7446,29922999
query_256,6,2,32111.0,30241.0,332651.0,332651.0,0.0,2.9918668576624833E7,1000223,5706,29889509
query_256,6,3,31989.0,30245.0,332695.0,332695.0,0.0,3.002681935277752E7,1000191,5681,30008463
query_256,6,4,32027.0,30243.0,332673.0,332673.0,0.0,2.999912097480251E7,1000194,5294,29968894
query_256,6,5,32115.0,30238.0,332618.0,332618.0,0.0,2.9906047114494786E7,1000164,4949,29882821
