query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_255,6,1,46559.0,45409.0,499499.0,499499.0,0.0,3.638342178362937E7,1000148,6739,36359401
query_255,6,2,46547.0,45408.0,499488.0,499488.0,0.0,3.639039882647646E7,1000115,5404,36367973
query_255,6,3,46594.0,45408.0,499488.0,499488.0,0.0,3.6348090583852E7,1000162,5336,36331288
query_255,6,4,46621.0,45405.0,499455.0,499455.0,0.0,3.632943895051586E7,1000126,5592,36307849
query_255,6,5,46534.0,45410.0,499510.0,499510.0,0.0,3.641017872454549E7,1000144,5067,36379735
