query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_548,9,1,5309.0,4953.0,500253.0,500253.0,0.0,1.3691213398756828E7,1000862,4391,9731657
query_548,9,2,5325.0,4953.0,500253.0,500253.0,0.0,1.365007548056338E7,1000878,2897,9725067
query_548,9,3,5311.0,4953.0,500253.0,500253.0,0.0,1.3686057603841085E7,1000864,2735,9744154
query_548,9,4,5354.0,4953.0,500253.0,500253.0,0.0,1.3576139696301831E7,1000907,2827,9637706
query_548,9,5,5259.0,4953.0,500253.0,500253.0,0.0,1.3821382759840274E7,1000812,3104,9648124
