query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_255,5,1,4672.0,4550.0,50050.0,50050.0,0.0,3.632267620547945E7,100222,1695,36306717
query_255,5,2,4676.0,4549.0,50039.0,50039.0,0.0,3.6291604626176216E7,100205,704,36267687
query_255,5,3,4669.0,4549.0,50039.0,50039.0,0.0,3.636198407881773E7,100198,589,36322061
query_255,5,4,4672.0,4548.0,50028.0,50028.0,0.0,3.629873771061644E7,100180,539,36290758
query_255,5,5,4675.0,4548.0,50028.0,50028.0,0.0,3.6307341914010696E7,100183,566,36267470
