query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_545,4,1,455.0,455.0,5005.0,5005.0,0.0,3.7280216E7,10010,770,37280216
query_545,4,2,455.0,455.0,5005.0,5005.0,0.0,3.7280216E7,10010,117,37280216
query_545,4,3,455.0,455.0,5005.0,5005.0,0.0,3.7280216E7,10010,168,37280216
query_545,4,4,455.0,455.0,5005.0,5005.0,0.0,3.7280216E7,10010,102,37280216
query_545,4,5,455.0,455.0,5005.0,5005.0,0.0,3.7280216E7,10010,93,37280216
