query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_145,3,1,228823.0,153168.0,1000000,91131,4964726
query_145,3,2,228412.0,153240.0,1000003,101514,4978921
query_145,3,3,228751.0,153182.0,1000003,96322,4967582
query_145,3,4,228661.0,153208.0,1000002,93604,4968814
query_145,3,5,228806.0,153175.0,1000000,98517,4966391
