query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_224,4,1,343.0,182.0,4729.0,183.0,4546.0,1.6951063463556852E7,10224,731,273
query_224,4,2,356.0,182.0,4731.0,182.0,4549.0,1.6137010516853932E7,10253,149,240
query_224,4,3,343.0,182.0,4729.0,182.0,4547.0,1.5434441562682215E7,10221,140,183
query_224,4,4,314.0,182.0,4729.0,183.0,4546.0,1.7963796331210192E7,10188,122,244
query_224,4,5,360.0,182.0,4732.0,182.0,4550.0,1.84401156E7,10245,98,213
