# f c
21 1
15 2
13 8
12 6
11 7
10 3
9 9
8 39
7 56
7 62
7 5
6 58
6 20
5 37
5 34
5 18
5 14
5 12
5 11
5 4
4 68
4 72
4 49
4 46
4 45
4 28
4 27
4 25
4 22
4 31
4 32
4 33
4 43
4 10
4 17
4 15
4 16
4 13
4 100
3 97
3 71
3 74
3 73
3 77
3 79
3 83
3 85
3 47
3 161
3 55
3 61
3 166
3 23
3 24
3 35
3 38
3 21
3 699
3 585
3 654
3 702
2 1572
2 1207
2 15005
2 1647
2 192
2 197
2 89
2 2829
2 1615
2 1857
2 98
2 99
2 69
2 76
2 78
2 81
2 84
2 393
2 44
2 50
2 53
2 35119
2 396
2 276
2 156
2 159
2 59
2 1704
2 64
2 26
2 1919
2 255
2 136
2 36
2 40
2 41
2 42
2 143
2 145
2 149
2 118
2 353
2 111
2 234
2 477
2 115
2 19
2 363
2 218
2 335
2 456
2 4040
2 228
2 221
2 468
2 553
2 799
2 684
2 657
2 412
2 422
2 840721
2 523
2 505
2 628
2 712
2 720
2 814
2 1115
2 32326
2 1230
1 108129
1 30847
1 3731
1 17747
1 15328
1 2768
1 1430
1 1431
1 26454
1 1310
1 1450
1 8088
1 543943
1 900
1 17876
1 4954
1 1566
1 2776
1 1325
1 1568
1 3505
1 80058
1 1683
1 7897576
1 1201
1 1780
1 1781
1 9382
1 12073
1 13045
1 83673
1 100777
1 4800
1 1533
1 2622
1 29740
1 1652
1 62867
1 109367
1 13055
1 3846
1 2638
1 2639
1 4933
1 245196
1 1302
1 1303
1 3602
1 1666
1 1787
1 2876
1 1540
1 1300
1 8033
1 19960
1 3930
1 16214
1 1636
1 1637
1 1879
1 142276
1 3815
1 1994
1 7072
1 8164
1 19731
1 16587
1 1405
1 1406
1 1765
1 3706
1 2975
1 2856
1 190
1 196
1 6071
1 13081
1 194
1 90040
1 88
1 94
1 91
1 18659
1 1859
1 1610
1 2941
1 54076
1 1976
1 90
1 56015
1 1850
1 1971
1 7291
1 14061
1 37168
1 1509
1 47087
1 1504
1 50604
1 1627
1 1749
1 17336
1 10945
1 1501
1 28581
1 1502
1 30893
1 171
1 23344
1 6293
1 295
1 173
1 7384
1 67
1 10916554
1 66
1 10391
1 20078
1 2808
1 70
1 10032
1 10275
1 12211
1 75
1 2803
1 2926
1 179
1 1951
1 1711
1 176
1 297
1 181
1 180
1 186
1 185
1 37860
1 1607
1 13431
1 2939
1 734352
1 80
1 1966
1 87
1 86
1 36537
1 2936
1 1606
1 2816
1 1842
1 54501
1 270
1 23123
1 97431
1 153
1 394
1 151
1 150
1 6156
1 8216
