query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q1439_o,5,1,4539.0,4539.0,62573.0,37503.0,25070.0,142127.93456708526,100076,1696,61082
query_Q1439_o,5,2,4538.0,4538.0,62657.0,37417.0,25240.0,144413.7020713971,100074,763,61140
query_Q1439_o,5,3,4539.0,4539.0,62826.0,37273.0,25553.0,143145.61687596387,100099,547,62205
query_Q1439_o,5,4,4539.0,4539.0,63053.0,37038.0,26015.0,142196.0189469046,100091,567,61229
query_Q1439_o,5,5,4541.0,4541.0,62745.0,37368.0,25377.0,143268.82514864567,100113,570,62527
