query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
query_Q1974_o,9,1,4953.0,4953.0,643711.0,357141.0,286570.0,232946.43165758127,1000852,4195,93139
query_Q1974_o,9,2,4953.0,4953.0,646447.0,354449.0,291998.0,234411.11568746215,1000896,3110,94599
query_Q1974_o,9,3,4953.0,4953.0,644526.0,356275.0,288251.0,231242.77286493033,1000801,3033,92327
query_Q1974_o,9,4,4953.0,4953.0,643961.0,356873.0,287088.0,233686.48253583687,1000834,3156,93530
query_Q1974_o,9,5,4953.0,4953.0,645441.0,355407.0,290034.0,230302.2915404805,1000848,3178,93793
